Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,pbcid1,box1,2883,,bid2883,,
1,pbcid1,box1,2567,,bid2567,,
2,pbcid1,box1,1140,,bid1140,,
3,pbcid1,box1,1545,,bid4845,,
4,pbcid1,box1,294,,bid3594,,
5,pbcid1,box1,353,,bid3653,,
6,pbcid1,box1,303,,bid3603,,
7,pbcid1,box1,280,,bid3580,,
8,pbcid1,box1,1200,,bid4500,,
9,pbcid1,box1,887,,bid4187,,
10,pbcid1,box1,33,,bid33,,
11,pbcid1,box1,2412,,bid2412,,
12,pbcid1,box1,1603,,bid4903,,
13,pbcid1,box1,823,,bid4123,,
14,pbcid1,box1,1071,,bid4371,,
15,pbcid1,box1,2196,,bid5496,,
16,pbcid1,box1,2764,,bid2764,,
17,pbcid1,box1,789,,bid4089,,
18,pbcid1,box1,749,,bid749,,
19,pbcid1,box1,3229,,bid3229,,
20,pbcid1,box1,464,,bid3764,,
21,pbcid1,box1,70,,bid3370,,
22,pbcid1,box1,1737,,bid1737,,
23,pbcid1,box1,53,,bid3353,,
24,pbcid1,box1,1497,,bid4797,,
25,pbcid1,box1,863,,bid4163,,
26,pbcid1,box1,390,,bid390,,
27,pbcid1,box1,478,,bid478,,
28,pbcid1,box1,290,,bid290,,
29,pbcid1,box1,1153,,bid1153,,
30,pbcid1,box1,1774,,bid5074,,
31,pbcid1,box1,1278,,bid4578,,
32,pbcid1,box1,69,,bid69,,
33,pbcid1,box1,922,,bid4222,,
34,pbcid1,box1,1859,,bid5159,,
35,pbcid1,box1,693,,bid693,,
36,pbcid1,box1,2565,,bid2565,,
37,pbcid1,box1,3259,,bid3259,,
38,pbcid1,box1,1753,,bid1753,,
39,pbcid1,box1,2576,,bid5876,,
40,pbcid1,box1,81,,bid3381,,
41,pbcid1,box1,1150,,bid1150,,
42,pbcid1,box1,1434,,bid4734,,
43,pbcid1,box1,2009,,bid2009,,
44,pbcid1,box1,1289,,bid1289,,
45,pbcid1,box1,2531,,bid5831,,
46,pbcid1,box1,2168,,bid5468,,
47,pbcid1,box1,2047,,bid2047,,
48,pbcid1,box1,10,,bid10,,
49,pbcid1,box1,2184,,bid2184,,
50,pbcid1,box1,3165,,bid3165,,
51,pbcid1,box1,666,,bid3966,,
52,pbcid1,box1,1792,,bid1792,,
53,pbcid1,box1,2194,,bid5494,,
54,pbcid1,box1,2140,,bid2140,,
55,pbcid1,box1,2517,,bid2517,,
56,pbcid1,box1,3287,,bid3287,,
57,pbcid1,box1,2596,,bid2596,,
58,pbcid1,box1,918,,bid918,,
59,pbcid1,box1,1979,,bid1979,,
60,pbcid1,box1,2264,,bid5564,,
61,pbcid1,box1,3041,,bid6341,,
62,pbcid1,box1,1002,,bid4302,,
63,pbcid1,box1,3053,,bid6353,,
64,pbcid1,box1,479,,bid3779,,
65,pbcid1,box1,2921,,bid2921,,
66,pbcid1,box1,2884,,bid2884,,
67,pbcid1,box1,418,,bid418,,
