Collection,Ballot id,Contest,Selections
pbcid1,bid1,cid1,Alice
pbcid1,bid2,cid1,Alice
pbcid1,bid3,cid1,Bob
pbcid1,bid4,cid1,Alice
pbcid1,bid5,cid1,Bob
pbcid1,bid6,cid1,Alice
pbcid1,bid7,cid1,Bob
pbcid1,bid8,cid1,Alice
pbcid1,bid9,cid1,Alice
pbcid1,bid10,cid1,Alice
pbcid1,bid11,cid1,Bob
pbcid1,bid12,cid1,Alice
pbcid1,bid13,cid1,Bob
pbcid1,bid14,cid1,Bob
pbcid1,bid15,cid1,Alice
pbcid1,bid16,cid1,Alice
pbcid1,bid17,cid1,Bob
pbcid1,bid18,cid1,Bob
pbcid1,bid19,cid1,Bob
pbcid1,bid20,cid1,Alice
pbcid1,bid21,cid1,Bob
pbcid1,bid22,cid1,Alice
pbcid1,bid23,cid1,Bob
pbcid1,bid24,cid1,Alice
pbcid1,bid25,cid1,Bob
pbcid1,bid26,cid1,Alice
pbcid1,bid27,cid1,Bob
pbcid1,bid28,cid1,Alice
pbcid1,bid29,cid1,Alice
pbcid1,bid30,cid1,Bob
pbcid1,bid31,cid1,Bob
pbcid1,bid32,cid1,Alice
pbcid1,bid33,cid1,Bob
pbcid1,bid34,cid1,Alice
pbcid1,bid35,cid1,Bob
pbcid1,bid36,cid1,Bob
pbcid1,bid37,cid1,Bob
pbcid1,bid38,cid1,Bob
pbcid1,bid39,cid1,Bob
pbcid1,bid40,cid1,Alice
pbcid1,bid41,cid1,Bob
pbcid1,bid42,cid1,Alice
pbcid1,bid43,cid1,Alice
pbcid1,bid44,cid1,Alice
pbcid1,bid45,cid1,Alice
pbcid1,bid46,cid1,Bob
pbcid1,bid47,cid1,Bob
pbcid1,bid48,cid1,Alice
pbcid1,bid49,cid1,Bob
pbcid1,bid50,cid1,Alice
pbcid1,bid51,cid1,Bob
pbcid1,bid52,cid1,Bob
pbcid1,bid53,cid1,Bob
pbcid1,bid54,cid1,Bob
pbcid1,bid55,cid1,Bob
pbcid1,bid56,cid1,Bob
pbcid1,bid57,cid1,Alice
pbcid1,bid58,cid1,Alice
pbcid1,bid59,cid1,Alice
pbcid1,bid60,cid1,Alice
pbcid1,bid61,cid1,Bob
pbcid1,bid62,cid1,Bob
pbcid1,bid63,cid1,Bob
pbcid1,bid64,cid1,Alice
pbcid1,bid65,cid1,Bob
pbcid1,bid66,cid1,Bob
pbcid1,bid67,cid1,Bob
pbcid1,bid68,cid1,Alice
pbcid1,bid69,cid1,Alice
pbcid1,bid70,cid1,Alice
pbcid1,bid71,cid1,Alice
pbcid1,bid72,cid1,Bob
pbcid1,bid73,cid1,Bob
pbcid1,bid74,cid1,Bob
pbcid1,bid75,cid1,Alice
pbcid1,bid76,cid1,Alice
pbcid1,bid77,cid1,Alice
pbcid1,bid78,cid1,Bob
