Collection,Scanner,Ballot id,Contest,Selections
PBC1,scanner1,bid1,Mayor,Alice
PBC1,scanner1,bid2,Mayor,Alice
PBC1,scanner1,bid3,Mayor,Alice
PBC1,scanner1,bid4,Mayor,Alice
PBC1,scanner1,bid5,Mayor,Alice
PBC1,scanner1,bid6,Mayor,Alice
PBC1,scanner1,bid7,Mayor,Alice
PBC1,scanner1,bid8,Mayor,Alice
PBC1,scanner1,bid9,Mayor,Bob
PBC1,scanner1,bid10,Mayor,Alice
PBC1,scanner1,bid11,Mayor,Bob
PBC1,scanner1,bid12,Mayor,Bob
PBC1,scanner1,bid13,Mayor,Bob
PBC1,scanner1,bid14,Mayor,Alice
PBC1,scanner1,bid15,Mayor,Alice
PBC1,scanner1,bid16,Mayor,Alice
PBC1,scanner1,bid17,Mayor,Alice
PBC1,scanner1,bid18,Mayor,Alice
PBC1,scanner1,bid19,Mayor,Bob
PBC1,scanner1,bid20,Mayor,Bob
PBC1,scanner1,bid21,Mayor,Bob
PBC1,scanner1,bid22,Mayor,Alice
PBC1,scanner1,bid23,Mayor,Bob
PBC1,scanner1,bid24,Mayor,Alice
PBC1,scanner1,bid25,Mayor,Alice
PBC1,scanner1,bid26,Mayor,Bob
PBC1,scanner1,bid27,Mayor,Alice
PBC1,scanner1,bid28,Mayor,Alice
PBC1,scanner1,bid29,Mayor,Alice
PBC1,scanner1,bid30,Mayor,Alice
PBC1,scanner1,bid31,Mayor,Alice
PBC1,scanner1,bid32,Mayor,Bob
PBC1,scanner1,bid33,Mayor,Alice
PBC1,scanner1,bid34,Mayor,Alice
PBC1,scanner1,bid35,Mayor,Bob
PBC1,scanner1,bid36,Mayor,Alice
PBC1,scanner1,bid37,Mayor,Alice
PBC1,scanner1,bid38,Mayor,Alice
PBC1,scanner1,bid39,Mayor,Bob
PBC1,scanner1,bid40,Mayor,Alice
PBC1,scanner1,bid41,Mayor,Alice
PBC1,scanner1,bid42,Mayor,Bob
PBC1,scanner1,bid43,Mayor,Bob
PBC1,scanner1,bid44,Mayor,Bob
PBC1,scanner1,bid45,Mayor,Alice
PBC1,scanner1,bid46,Mayor,Bob
PBC1,scanner1,bid47,Mayor,Bob
PBC1,scanner1,bid48,Mayor,Bob
PBC1,scanner1,bid49,Mayor,Alice
PBC1,scanner1,bid50,Mayor,Bob
PBC1,scanner1,bid51,Mayor,Alice
PBC1,scanner1,bid52,Mayor,Bob
PBC1,scanner1,bid53,Mayor,Alice
PBC1,scanner1,bid54,Mayor,Bob
PBC1,scanner1,bid55,Mayor,Bob
PBC1,scanner1,bid56,Mayor,Bob
PBC1,scanner1,bid57,Mayor,Bob
