Collection,Scanner,Ballot id,Contest,Selections
AllBallots,scanner1,bid1,Aurora2K,No
AllBallots,scanner1,bid2,Aurora2K,Yes
AllBallots,scanner1,bid3,Aurora2K,No
AllBallots,scanner1,bid4,Aurora2K,No
AllBallots,scanner1,bid5,Aurora2K,Yes
AllBallots,scanner1,bid6,Aurora2K,Yes
AllBallots,scanner1,bid7,Aurora2K,Yes
AllBallots,scanner1,bid8,Aurora2K,Yes
AllBallots,scanner1,bid9,Aurora2K,No
AllBallots,scanner1,bid10,Aurora2K,Yes
AllBallots,scanner1,bid11,Aurora2K,Yes
AllBallots,scanner1,bid12,Aurora2K,No
AllBallots,scanner1,bid13,Aurora2K,Yes
AllBallots,scanner1,bid14,Aurora2K,No
AllBallots,scanner1,bid15,Aurora2K,No
AllBallots,scanner1,bid16,Aurora2K,No
AllBallots,scanner1,bid17,Aurora2K,No
AllBallots,scanner1,bid18,Aurora2K,No
AllBallots,scanner1,bid19,Aurora2K,No
AllBallots,scanner1,bid20,Aurora2K,Yes
AllBallots,scanner1,bid21,Aurora2K,No
AllBallots,scanner1,bid22,Aurora2K,Yes
AllBallots,scanner1,bid23,Aurora2K,No
AllBallots,scanner1,bid24,Aurora2K,Yes
AllBallots,scanner1,bid25,Aurora2K,Yes
AllBallots,scanner1,bid26,Aurora2K,No
AllBallots,scanner1,bid27,Aurora2K,No
AllBallots,scanner1,bid28,Aurora2K,No
AllBallots,scanner1,bid29,Aurora2K,Yes
AllBallots,scanner1,bid30,Aurora2K,Yes
AllBallots,scanner1,bid31,Aurora2K,No
AllBallots,scanner1,bid32,Aurora2K,No
AllBallots,scanner1,bid33,Aurora2K,Yes
AllBallots,scanner1,bid34,Aurora2K,No
AllBallots,scanner1,bid35,Aurora2K,Yes
AllBallots,scanner1,bid36,Aurora2K,Yes
AllBallots,scanner1,bid37,Aurora2K,No
AllBallots,scanner1,bid38,Aurora2K,No
AllBallots,scanner1,bid39,Aurora2K,Yes
AllBallots,scanner1,bid40,Aurora2K,No
AllBallots,scanner1,bid41,Aurora2K,No
AllBallots,scanner1,bid42,Aurora2K,Yes
AllBallots,scanner1,bid43,Aurora2K,No
AllBallots,scanner1,bid44,Aurora2K,No
AllBallots,scanner1,bid45,Aurora2K,Yes
AllBallots,scanner1,bid46,Aurora2K,No
AllBallots,scanner1,bid47,Aurora2K,Yes
AllBallots,scanner1,bid48,Aurora2K,No
AllBallots,scanner1,bid49,Aurora2K,Yes
AllBallots,scanner1,bid50,Aurora2K,No
AllBallots,scanner1,bid51,Aurora2K,Yes
AllBallots,scanner1,bid52,Aurora2K,No
AllBallots,scanner1,bid53,Aurora2K,No
AllBallots,scanner1,bid54,Aurora2K,No
AllBallots,scanner1,bid55,Aurora2K,No
AllBallots,scanner1,bid56,Aurora2K,No
