Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,AllBallots,box1,1528,,bid1528,,
1,AllBallots,box1,6347,,bid6347,,
2,AllBallots,box1,6449,,bid6449,,
3,AllBallots,box1,10860,,bid10860,,
4,AllBallots,box1,11098,,bid11098,,
5,AllBallots,box1,10004,,bid30444,,
6,AllBallots,box1,14073,,bid14073,,
7,AllBallots,box1,8489,,bid28929,,
8,AllBallots,box1,5743,,bid5743,,
9,AllBallots,box1,15829,,bid15829,,
10,AllBallots,box1,12142,,bid12142,,
11,AllBallots,box1,8683,,bid29123,,
12,AllBallots,box1,9736,,bid9736,,
13,AllBallots,box1,13391,,bid13391,,
14,AllBallots,box1,537,,bid537,,
15,AllBallots,box1,4761,,bid4761,,
16,AllBallots,box1,10888,,bid31328,,
17,AllBallots,box1,1250,,bid21690,,
18,AllBallots,box1,15860,,bid36300,,
19,AllBallots,box1,12932,,bid12932,,
20,AllBallots,box1,640,,bid640,,
21,AllBallots,box1,16281,,bid16281,,
22,AllBallots,box1,6628,,bid27068,,
23,AllBallots,box1,15346,,bid35786,,
24,AllBallots,box1,3565,,bid24005,,
25,AllBallots,box1,2820,,bid23260,,
26,AllBallots,box1,11673,,bid11673,,
27,AllBallots,box1,8327,,bid28767,,
28,AllBallots,box1,8390,,bid8390,,
29,AllBallots,box1,6019,,bid6019,,
30,AllBallots,box1,7586,,bid28026,,
31,AllBallots,box1,4205,,bid4205,,
32,AllBallots,box1,12699,,bid33139,,
33,AllBallots,box1,8088,,bid8088,,
34,AllBallots,box1,3963,,bid3963,,
35,AllBallots,box1,2126,,bid2126,,
36,AllBallots,box1,4975,,bid4975,,
37,AllBallots,box1,4184,,bid4184,,
38,AllBallots,box1,1043,,bid21483,,
39,AllBallots,box1,3343,,bid3343,,
40,AllBallots,box1,157,,bid20597,,
41,AllBallots,box1,1300,,bid1300,,
42,AllBallots,box1,57,,bid20497,,
43,AllBallots,box1,18647,,bid39087,,
44,AllBallots,box1,804,,bid21244,,
45,AllBallots,box1,3370,,bid3370,,
46,AllBallots,box1,6735,,bid27175,,
47,AllBallots,box1,2490,,bid2490,,
48,AllBallots,box1,17854,,bid38294,,
49,AllBallots,box1,1923,,bid22363,,
50,AllBallots,box1,19526,,bid39966,,
51,AllBallots,box1,17366,,bid37806,,
52,AllBallots,box1,3740,,bid24180,,
53,AllBallots,box1,9468,,bid9468,,
54,AllBallots,box1,9154,,bid29594,,
55,AllBallots,box1,19418,,bid19418,,
56,AllBallots,box1,9545,,bid9545,,
57,AllBallots,box1,11194,,bid11194,,
58,AllBallots,box1,17377,,bid17377,,
59,AllBallots,box1,3020,,bid3020,,
60,AllBallots,box1,11161,,bid11161,,
61,AllBallots,box1,19169,,bid19169,,
62,AllBallots,box1,5077,,bid25517,,
63,AllBallots,box1,6078,,bid6078,,
64,AllBallots,box1,5336,,bid5336,,
65,AllBallots,box1,13899,,bid13899,,
66,AllBallots,box1,15473,,bid35913,,
67,AllBallots,box1,18158,,bid38598,,
68,AllBallots,box1,20061,,bid20061,,
69,AllBallots,box1,18461,,bid18461,,
70,AllBallots,box1,6384,,bid6384,,
71,AllBallots,box1,18628,,bid18628,,
72,AllBallots,box1,9650,,bid30090,,
73,AllBallots,box1,4327,,bid24767,,
74,AllBallots,box1,2871,,bid2871,,
75,AllBallots,box1,4895,,bid4895,,
76,AllBallots,box1,13298,,bid33738,,
77,AllBallots,box1,18365,,bid38805,,
78,AllBallots,box1,17265,,bid17265,,
79,AllBallots,box1,16560,,bid37000,,
80,AllBallots,box1,17464,,bid17464,,
81,AllBallots,box1,16481,,bid36921,,
82,AllBallots,box1,12532,,bid32972,,
83,AllBallots,box1,10245,,bid10245,,
84,AllBallots,box1,15234,,bid35674,,
85,AllBallots,box1,2500,,bid22940,,
86,AllBallots,box1,9242,,bid9242,,
87,AllBallots,box1,10104,,bid30544,,
88,AllBallots,box1,12005,,bid32445,,
89,AllBallots,box1,12495,,bid32935,,
90,AllBallots,box1,20265,,bid20265,,
91,AllBallots,box1,3905,,bid24345,,
92,AllBallots,box1,18907,,bid18907,,
93,AllBallots,box1,9904,,bid9904,,
94,AllBallots,box1,18126,,bid18126,,
95,AllBallots,box1,2701,,bid23141,,
