Collection,Ballot id,Contest,Selections
AllBallots,bid1,Aurora2K,No
AllBallots,bid2,Aurora2K,Yes
AllBallots,bid3,Aurora2K,No
AllBallots,bid4,Aurora2K,No
AllBallots,bid5,Aurora2K,Yes
AllBallots,bid6,Aurora2K,Yes
AllBallots,bid7,Aurora2K,Yes
AllBallots,bid8,Aurora2K,Yes
AllBallots,bid9,Aurora2K,No
AllBallots,bid10,Aurora2K,Yes
AllBallots,bid11,Aurora2K,Yes
AllBallots,bid12,Aurora2K,No
AllBallots,bid13,Aurora2K,Yes
AllBallots,bid14,Aurora2K,No
AllBallots,bid15,Aurora2K,No
AllBallots,bid16,Aurora2K,No
AllBallots,bid17,Aurora2K,No
AllBallots,bid18,Aurora2K,No
AllBallots,bid19,Aurora2K,No
AllBallots,bid20,Aurora2K,Yes
AllBallots,bid21,Aurora2K,No
AllBallots,bid22,Aurora2K,Yes
AllBallots,bid23,Aurora2K,No
AllBallots,bid24,Aurora2K,Yes
AllBallots,bid25,Aurora2K,Yes
AllBallots,bid26,Aurora2K,No
AllBallots,bid27,Aurora2K,No
AllBallots,bid28,Aurora2K,No
AllBallots,bid29,Aurora2K,Yes
AllBallots,bid30,Aurora2K,Yes
AllBallots,bid31,Aurora2K,No
AllBallots,bid32,Aurora2K,No
AllBallots,bid33,Aurora2K,Yes
AllBallots,bid34,Aurora2K,No
AllBallots,bid35,Aurora2K,Yes
AllBallots,bid36,Aurora2K,Yes
AllBallots,bid37,Aurora2K,No
AllBallots,bid38,Aurora2K,No
AllBallots,bid39,Aurora2K,Yes
AllBallots,bid40,Aurora2K,No
AllBallots,bid41,Aurora2K,No
AllBallots,bid42,Aurora2K,Yes
AllBallots,bid43,Aurora2K,No
AllBallots,bid44,Aurora2K,No
AllBallots,bid45,Aurora2K,Yes
AllBallots,bid46,Aurora2K,No
AllBallots,bid47,Aurora2K,Yes
AllBallots,bid48,Aurora2K,No
AllBallots,bid49,Aurora2K,Yes
AllBallots,bid50,Aurora2K,No
AllBallots,bid51,Aurora2K,Yes
AllBallots,bid52,Aurora2K,No
AllBallots,bid53,Aurora2K,No
AllBallots,bid54,Aurora2K,No
AllBallots,bid55,Aurora2K,No
AllBallots,bid56,Aurora2K,No
AllBallots,bid57,Aurora2K,No
AllBallots,bid58,Aurora2K,No
AllBallots,bid59,Aurora2K,Yes
AllBallots,bid60,Aurora2K,Yes
AllBallots,bid61,Aurora2K,No
AllBallots,bid62,Aurora2K,Yes
AllBallots,bid63,Aurora2K,Yes
AllBallots,bid64,Aurora2K,Yes
AllBallots,bid65,Aurora2K,No
AllBallots,bid66,Aurora2K,No
AllBallots,bid67,Aurora2K,No
AllBallots,bid68,Aurora2K,No
AllBallots,bid69,Aurora2K,Yes
AllBallots,bid70,Aurora2K,No
AllBallots,bid71,Aurora2K,Yes
AllBallots,bid72,Aurora2K,Yes
AllBallots,bid73,Aurora2K,No
